Epoch 181 [Hybrid] | Train L1: 0.0479 | Val Center: 0.0104 Val L1: 0.0514
Epoch 182 [Hybrid] | Train L1: 0.0482 | Val Center: 0.0096 Val L1: 0.0512
Epoch 183 [Hybrid] | Train L1: 0.0481 | Val Center: 0.0101 Val L1: 0.0514
Epoch 184 [Hybrid] | Train L1: 0.0480 | Val Center: 0.0099 Val L1: 0.0512
Epoch 185 [Hybrid] | Train L1: 0.0478 | Val Center: 0.0105 Val L1: 0.0514
Epoch 186 [Hybrid] | Train L1: 0.0478 | Val Center: 0.0097 Val L1: 0.0511
Epoch 187 [Hybrid] | Train L1: 0.0479 | Val Center: 0.0098 Val L1: 0.0512
Epoch 188 [Hybrid] | Train L1: 0.0477 | Val Center: 0.0099 Val L1: 0.0513
Epoch 189 [Hybrid] | Train L1: 0.0479 | Val Center: 0.0101 Val L1: 0.0514
Epoch 190 [Hybrid] | Train L1: 0.0478 | Val Center: 0.0096 Val L1: 0.0512
Epoch 191 [Hybrid] | Train L1: 0.0479 | Val Center: 0.0095 Val L1: 0.0512
Final Test Result -> Center: 0.0129 | L1: 0.0543
Final results saved to results/run_20260410_170708
