Run: results/run_20260410_175156
Device: mps  |  Trainable params: 2,516,108
Config: LR=0.0003  WD=0  BS=4  AUGMENT=False  Epochs=300  Warmup=5
------------------------------------------------------------------------------------------
Epoch  70 [Hybrid ] | Train: tot=0.0985 ctr=0.0163 sz=0.0378 l1=0.0525 | Val: tot=0.1146 ctr=0.0166 sz=0.0474 l1=0.0589 | 5.2s
Epoch  71 [Hybrid ] | Train: tot=0.0964 ctr=0.0152 sz=0.0370 l1=0.0518 | Val: tot=0.1163 ctr=0.0184 sz=0.0462 l1=0.0609 | 5.2s
Epoch  72 [Hybrid ] | Train: tot=0.0955 ctr=0.0151 sz=0.0367 l1=0.0512 | Val: tot=0.1152 ctr=0.0166 sz=0.0467 l1=0.0603 | 5.3s
Epoch  73 [Hybrid ] | Train: tot=0.0940 ctr=0.0136 sz=0.0364 l1=0.0508 | Val: tot=0.1161 ctr=0.0170 sz=0.0462 l1=0.0614 | 5.2s
Epoch  74 [Hybrid ] | Train: tot=0.0956 ctr=0.0148 sz=0.0363 l1=0.0519 | Val: tot=0.1148 ctr=0.0150 sz=0.0466 l1=0.0608 | 5.2s
Epoch  75 [Hybrid ] | Train: tot=0.0908 ctr=0.0124 sz=0.0348 l1=0.0499 | Val: tot=0.1114 ctr=0.0137 sz=0.0455 l1=0.0591 | 5.2s
Epoch  76 [Hybrid ] | Train: tot=0.0899 ctr=0.0113 sz=0.0350 l1=0.0492 | Val: tot=0.1121 ctr=0.0148 sz=0.0452 l1=0.0595 | 5.3s
Epoch  77 [Hybrid ] | Train: tot=0.0886 ctr=0.0106 sz=0.0346 l1=0.0487 | Val: tot=0.1115 ctr=0.0141 sz=0.0455 l1=0.0590 | 5.3s
Epoch  78 [Hybrid ] | Train: tot=0.0888 ctr=0.0107 sz=0.0344 l1=0.0490 | Val: tot=0.1120 ctr=0.0142 sz=0.0454 l1=0.0595 | 5.3s
Epoch  79 [Hybrid ] | Train: tot=0.0891 ctr=0.0109 sz=0.0346 l1=0.0491 | Val: tot=0.1097 ctr=0.0128 sz=0.0461 l1=0.0573 | 5.2s
Epoch  80 [Hybrid ] | Train: tot=0.0871 ctr=0.0104 sz=0.0338 l1=0.0481 | Val: tot=0.1105 ctr=0.0135 sz=0.0454 l1=0.0583 | 5.3s
Epoch  81 [Hybrid ] | Train: tot=0.0876 ctr=0.0112 sz=0.0335 l1=0.0485 | Val: tot=0.1114 ctr=0.0144 sz=0.0445 l1=0.0597 | 5.2s
Epoch  82 [Hybrid ] | Train: tot=0.0871 ctr=0.0112 sz=0.0330 l1=0.0485 | Val: tot=0.1101 ctr=0.0126 sz=0.0451 l1=0.0587 | 5.2s
Epoch  83 [Hybrid ] | Train: tot=0.0870 ctr=0.0105 sz=0.0333 l1=0.0485 | Val: tot=0.1092 ctr=0.0120 sz=0.0456 l1=0.0576 | 5.2s
Epoch  84 [Hybrid ] | Train: tot=0.0860 ctr=0.0108 sz=0.0323 l1=0.0483 | Val: tot=0.1107 ctr=0.0138 sz=0.0442 l1=0.0596 | 5.4s
Epoch  85 [Hybrid ] | Train: tot=0.0875 ctr=0.0120 sz=0.0333 l1=0.0482 | Val: tot=0.1102 ctr=0.0135 sz=0.0442 l1=0.0593 | 5.2s
Epoch  86 [Hybrid ] | Train: tot=0.0871 ctr=0.0118 sz=0.0326 l1=0.0485 | Val: tot=0.1121 ctr=0.0146 sz=0.0445 l1=0.0603 | 5.3s
Epoch  87 [Hybrid ] | Train: tot=0.0858 ctr=0.0121 sz=0.0319 l1=0.0478 | Val: tot=0.1125 ctr=0.0158 sz=0.0442 l1=0.0605 | 5.3s
Epoch  88 [Hybrid ] | Train: tot=0.0861 ctr=0.0115 sz=0.0327 l1=0.0477 | Val: tot=0.1096 ctr=0.0129 sz=0.0443 l1=0.0589 | 5.3s
Epoch  89 [Hybrid ] | Train: tot=0.0848 ctr=0.0104 sz=0.0320 l1=0.0475 | Val: tot=0.1091 ctr=0.0120 sz=0.0444 l1=0.0587 | 5.2s
Epoch  90 [Hybrid ] | Train: tot=0.0853 ctr=0.0112 sz=0.0319 l1=0.0477 | Val: tot=0.1074 ctr=0.0123 sz=0.0442 l1=0.0570 | 5.2s
Epoch  91 [Hybrid ] | Train: tot=0.0845 ctr=0.0111 sz=0.0317 l1=0.0472 | Val: tot=0.1095 ctr=0.0130 sz=0.0449 l1=0.0580 | 5.2s
Epoch  92 [Hybrid ] | Train: tot=0.0846 ctr=0.0117 sz=0.0317 l1=0.0471 | Val: tot=0.1100 ctr=0.0139 sz=0.0444 l1=0.0586 | 5.3s
Epoch  93 [Hybrid ] | Train: tot=0.0831 ctr=0.0100 sz=0.0312 l1=0.0469 | Val: tot=0.1094 ctr=0.0126 sz=0.0445 l1=0.0585 | 5.2s
Epoch  94 [Hybrid ] | Train: tot=0.0834 ctr=0.0103 sz=0.0315 l1=0.0467 | Val: tot=0.1089 ctr=0.0142 sz=0.0434 l1=0.0583 | 5.3s
Epoch  95 [Hybrid ] | Train: tot=0.0825 ctr=0.0100 sz=0.0305 l1=0.0469 | Val: tot=0.1091 ctr=0.0129 sz=0.0436 l1=0.0590 | 5.3s
Epoch  96 [Hybrid ] | Train: tot=0.0827 ctr=0.0106 sz=0.0307 l1=0.0468 | Val: tot=0.1084 ctr=0.0118 sz=0.0439 l1=0.0585 | 5.2s
Epoch  97 [Hybrid ] | Train: tot=0.0820 ctr=0.0110 sz=0.0305 l1=0.0460 | Val: tot=0.1092 ctr=0.0126 sz=0.0438 l1=0.0591 | 5.2s
Epoch  98 [Hybrid ] | Train: tot=0.0819 ctr=0.0095 sz=0.0307 l1=0.0464 | Val: tot=0.1074 ctr=0.0114 sz=0.0436 l1=0.0581 | 5.2s
Epoch  99 [Hybrid ] | Train: tot=0.0825 ctr=0.0114 sz=0.0301 l1=0.0467 | Val: tot=0.1081 ctr=0.0127 sz=0.0435 l1=0.0583 | 5.2s
Epoch 100 [Hybrid ] | Train: tot=0.0823 ctr=0.0105 sz=0.0305 l1=0.0466 | Val: tot=0.1094 ctr=0.0124 sz=0.0430 l1=0.0602 | 5.2s
Epoch 101 [Hybrid ] | Train: tot=0.0823 ctr=0.0105 sz=0.0305 l1=0.0466 | Val: tot=0.1080 ctr=0.0129 sz=0.0434 l1=0.0582 | 5.2s
Epoch 102 [Hybrid ] | Train: tot=0.0825 ctr=0.0112 sz=0.0300 l1=0.0469 | Val: tot=0.1109 ctr=0.0139 sz=0.0424 l1=0.0615 | 5.2s
Epoch 103 [Hybrid ] | Train: tot=0.0850 ctr=0.0110 sz=0.0303 l1=0.0491 | Val: tot=0.1110 ctr=0.0148 sz=0.0440 l1=0.0596 | 5.2s
Epoch 104 [Hybrid ] | Train: tot=0.0822 ctr=0.0102 sz=0.0299 l1=0.0471 | Val: tot=0.1088 ctr=0.0125 sz=0.0430 l1=0.0595 | 5.3s
Epoch 105 [Hybrid ] | Train: tot=0.0816 ctr=0.0110 sz=0.0299 l1=0.0462 | Val: tot=0.1083 ctr=0.0125 sz=0.0435 l1=0.0585 | 5.2s
Epoch 106 [Hybrid ] | Train: tot=0.0801 ctr=0.0104 sz=0.0290 l1=0.0459 | Val: tot=0.1083 ctr=0.0124 sz=0.0432 l1=0.0589 | 5.3s
Epoch 107 [Hybrid ] | Train: tot=0.0803 ctr=0.0108 sz=0.0291 l1=0.0458 | Val: tot=0.1132 ctr=0.0167 sz=0.0434 l1=0.0614 | 5.2s
Epoch 108 [Hybrid ] | Train: tot=0.0818 ctr=0.0119 sz=0.0290 l1=0.0469 | Val: tot=0.1135 ctr=0.0160 sz=0.0436 l1=0.0619 | 5.2s
Epoch 109 [Hybrid ] | Train: tot=0.0826 ctr=0.0131 sz=0.0293 l1=0.0468 | Val: tot=0.1090 ctr=0.0127 sz=0.0418 l1=0.0608 | 5.2s
Epoch 110 [Hybrid ] | Train: tot=0.0810 ctr=0.0113 sz=0.0293 l1=0.0460 | Val: tot=0.1083 ctr=0.0125 sz=0.0427 l1=0.0593 | 5.2s
Epoch 111 [Hybrid ] | Train: tot=0.0806 ctr=0.0107 sz=0.0288 l1=0.0465 | Val: tot=0.1089 ctr=0.0134 sz=0.0439 l1=0.0583 | 5.2s
Epoch 112 [Hybrid ] | Train: tot=0.0775 ctr=0.0094 sz=0.0277 l1=0.0451 | Val: tot=0.1072 ctr=0.0115 sz=0.0430 l1=0.0585 | 5.2s
Epoch 113 [Hybrid ] | Train: tot=0.0775 ctr=0.0094 sz=0.0280 l1=0.0448 | Val: tot=0.1065 ctr=0.0122 sz=0.0427 l1=0.0577 | 5.4s
Epoch 114 [Hybrid ] | Train: tot=0.0772 ctr=0.0095 sz=0.0280 l1=0.0445 | Val: tot=0.1071 ctr=0.0128 sz=0.0422 l1=0.0586 | 5.2s
Epoch 115 [Hybrid ] | Train: tot=0.0758 ctr=0.0087 sz=0.0275 l1=0.0439 | Val: tot=0.1061 ctr=0.0115 sz=0.0422 l1=0.0581 | 5.2s
Epoch 116 [Hybrid ] | Train: tot=0.0753 ctr=0.0085 sz=0.0275 l1=0.0436 | Val: tot=0.1065 ctr=0.0125 sz=0.0427 l1=0.0576 | 5.4s
Epoch 117 [Hybrid ] | Train: tot=0.0759 ctr=0.0091 sz=0.0275 l1=0.0439 | Val: tot=0.1061 ctr=0.0115 sz=0.0423 l1=0.0581 | 5.3s
Epoch 118 [Hybrid ] | Train: tot=0.0751 ctr=0.0089 sz=0.0272 l1=0.0434 | Val: tot=0.1059 ctr=0.0120 sz=0.0421 l1=0.0579 | 5.2s
Epoch 119 [Hybrid ] | Train: tot=0.0766 ctr=0.0096 sz=0.0273 l1=0.0445 | Val: tot=0.1053 ctr=0.0123 sz=0.0417 l1=0.0574 | 5.2s
Epoch 120 [Hybrid ] | Train: tot=0.0750 ctr=0.0092 sz=0.0268 l1=0.0436 | Val: tot=0.1057 ctr=0.0120 sz=0.0418 l1=0.0579 | 5.3s
Epoch 121 [Hybrid ] | Train: tot=0.0748 ctr=0.0087 sz=0.0269 l1=0.0435 | Val: tot=0.1066 ctr=0.0134 sz=0.0418 l1=0.0582 | 5.4s
Epoch 122 [Hybrid ] | Train: tot=0.0741 ctr=0.0085 sz=0.0265 l1=0.0433 | Val: tot=0.1054 ctr=0.0113 sz=0.0418 l1=0.0580 | 5.2s
Epoch 123 [Hybrid ] | Train: tot=0.0740 ctr=0.0080 sz=0.0268 l1=0.0432 | Val: tot=0.1063 ctr=0.0120 sz=0.0417 l1=0.0586 | 5.2s
Epoch 124 [Hybrid ] | Train: tot=0.0734 ctr=0.0086 sz=0.0262 l1=0.0429 | Val: tot=0.1061 ctr=0.0122 sz=0.0424 l1=0.0576 | 5.4s
Epoch 125 [Hybrid ] | Train: tot=0.0732 ctr=0.0087 sz=0.0262 l1=0.0427 | Val: tot=0.1061 ctr=0.0120 sz=0.0418 l1=0.0583 | 5.5s
Epoch 126 [Hybrid ] | Train: tot=0.0738 ctr=0.0085 sz=0.0267 l1=0.0429 | Val: tot=0.1072 ctr=0.0136 sz=0.0417 l1=0.0586 | 5.6s
Epoch 127 [Hybrid ] | Train: tot=0.0736 ctr=0.0091 sz=0.0257 l1=0.0433 | Val: tot=0.1060 ctr=0.0120 sz=0.0414 l1=0.0586 | 5.5s
Epoch 128 [Hybrid ] | Train: tot=0.0742 ctr=0.0085 sz=0.0271 l1=0.0428 | Val: tot=0.1060 ctr=0.0122 sz=0.0415 l1=0.0583 | 5.3s
Epoch 129 [Hybrid ] | Train: tot=0.0733 ctr=0.0086 sz=0.0261 l1=0.0429 | Val: tot=0.1048 ctr=0.0115 sz=0.0411 l1=0.0580 | 5.2s
Epoch 130 [Hybrid ] | Train: tot=0.0730 ctr=0.0082 sz=0.0262 l1=0.0427 | Val: tot=0.1070 ctr=0.0135 sz=0.0418 l1=0.0584 | 5.2s
Epoch 131 [Hybrid ] | Train: tot=0.0736 ctr=0.0085 sz=0.0261 l1=0.0432 | Val: tot=0.1046 ctr=0.0110 sz=0.0413 l1=0.0578 | 5.2s
Epoch 132 [Hybrid ] | Train: tot=0.0731 ctr=0.0084 sz=0.0261 l1=0.0428 | Val: tot=0.1053 ctr=0.0114 sz=0.0420 l1=0.0576 | 5.3s
Epoch 133 [Hybrid ] | Train: tot=0.0725 ctr=0.0086 sz=0.0259 l1=0.0424 | Val: tot=0.1082 ctr=0.0142 sz=0.0422 l1=0.0590 | 5.2s
Epoch 134 [Hybrid ] | Train: tot=0.0751 ctr=0.0107 sz=0.0261 l1=0.0436 | Val: tot=0.1078 ctr=0.0145 sz=0.0412 l1=0.0594 | 5.3s
Epoch 135 [Hybrid ] | Train: tot=0.0721 ctr=0.0085 sz=0.0256 l1=0.0423 | Val: tot=0.1057 ctr=0.0122 sz=0.0417 l1=0.0579 | 5.2s
Epoch 136 [Hybrid ] | Train: tot=0.0718 ctr=0.0085 sz=0.0255 l1=0.0421 | Val: tot=0.1055 ctr=0.0118 sz=0.0413 l1=0.0582 | 5.2s
Epoch 137 [Hybrid ] | Train: tot=0.0711 ctr=0.0081 sz=0.0251 l1=0.0420 | Val: tot=0.1041 ctr=0.0111 sz=0.0415 l1=0.0570 | 5.4s
Epoch 138 [Hybrid ] | Train: tot=0.0715 ctr=0.0078 sz=0.0256 l1=0.0420 | Val: tot=0.1053 ctr=0.0123 sz=0.0409 l1=0.0583 | 5.4s
Epoch 139 [Hybrid ] | Train: tot=0.0710 ctr=0.0078 sz=0.0252 l1=0.0420 | Val: tot=0.1041 ctr=0.0114 sz=0.0412 l1=0.0573 | 5.2s
Epoch 140 [Hybrid ] | Train: tot=0.0713 ctr=0.0084 sz=0.0251 l1=0.0420 | Val: tot=0.1056 ctr=0.0119 sz=0.0411 l1=0.0586 | 5.2s
